pair_id,img1,img2,gt_txt,n_inliers,inlier_rmse_px,mse_matrix,mse_sar50,out_dir
75,pair75_1.jpg,pair75_2.jpg,gt_75.txt,4,0.799133,1175461.587428,4152542524.059725,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_75
76,pair76_1.jpg,pair76_2.jpg,gt_76.txt,4,0.385102,96794.710501,9502334236932.367188,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_76
77,pair77_1.jpg,pair77_2.jpg,gt_77.txt,3,0.000020,13392503318.628727,9225124652.997160,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_77
78,pair78_1.jpg,pair78_2.jpg,gt_78.txt,4,0.933347,113278.115778,1068738701108704.375000,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_78
79,pair79_1.jpg,pair79_2.jpg,gt_79.txt,4,1.024466,3968.361896,15736921574.331110,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_79
80,pair80_1.jpg,pair80_2.jpg,gt_80.txt,4,0.964615,14611.486973,503432919.050212,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_80
81,pair81_1.jpg,pair81_2.jpg,gt_81.txt,3,0.000000,10562410919.554844,77212918483.014496,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_81
82,pair82_1.jpg,pair82_2.jpg,gt_82.txt,4,0.844100,37368.133467,858386903.047743,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_82
83,pair83_1.jpg,pair83_2.jpg,gt_83.txt,4,0.300905,301208.337879,6137828.413845,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_83
84,pair84_1.jpg,pair84_2.jpg,gt_84.txt,3,0.000000,10857770.383186,17112638.188921,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_84
85,pair85_1.jpg,pair85_2.jpg,gt_85.txt,3,0.000000,15725244.123442,209165.038683,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_85
86,pair86_1.jpg,pair86_2.jpg,gt_86.txt,4,0.886580,119145.194015,1532874458.995351,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_86
87,pair87_1.jpg,pair87_2.jpg,gt_87.txt,4,0.637459,36306.011701,14839329327427.345703,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_87
88,pair88_1.jpg,pair88_2.jpg,gt_88.txt,4,0.117446,88451.040070,718119133.071393,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_88
